epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5522,2.14726,3.18743,1.62637,0.00522,0.15048,0.00319,0.00083,3.5695,3.77842,2.52197,0.084016,1.6e-05,1.6e-05
2,32.4631,1.44396,1.92584,1.11358,0.00193,0.0555,0.00102,0.00025,3.46162,3.59529,2.44506,0.0670327,3.2703e-05,3.2703e-05
3,44.8511,1.3434,1.33029,1.06973,0.00421,0.10139,0.00247,0.00103,2.47304,4.04172,1.89848,0.0500491,4.91e-05,4.91e-05
4,57.4342,1.29586,1.13765,1.06931,0.73795,0.52295,0.66311,0.41026,1.49354,3.79067,1.21295,0.0330652,6.5191e-05,6.5191e-05
5,67.5639,1.26294,1.04322,1.05266,0.416,0.89328,0.82564,0.52374,1.3222,3.13611,1.10064,0.016081,8.0976e-05,8.0976e-05
6,80.4225,1.23369,0.99582,1.03524,0.9361,0.56285,0.88105,0.58189,1.23134,2.10707,1.05325,9.55e-05,9.55e-05,9.55e-05
7,92.286,1.2225,0.96285,1.03262,0.87186,0.79082,0.90032,0.61017,1.16108,1.46556,1.02351,9.46e-05,9.46e-05,9.46e-05
8,103.039,1.19986,0.93977,1.02905,0.86748,0.82437,0.90996,0.61813,1.1528,1.13196,1.0185,9.37e-05,9.37e-05,9.37e-05
9,115.868,1.16996,0.90615,1.01833,0.84551,0.84525,0.91435,0.62331,1.13112,0.96625,1.0113,9.28e-05,9.28e-05,9.28e-05
10,127.732,1.19894,0.90545,1.01842,0.85593,0.84326,0.92065,0.64138,1.10121,0.84053,1.0011,9.19e-05,9.19e-05,9.19e-05
11,138.296,1.17174,0.88148,1.01397,0.85382,0.85401,0.925,0.63627,1.10264,0.80083,0.99843,9.1e-05,9.1e-05,9.1e-05
12,151.226,1.16378,0.85858,1.01285,0.84158,0.87513,0.92868,0.64202,1.09123,0.78323,0.9974,9.01e-05,9.01e-05,9.01e-05
13,162.779,1.16399,0.86263,1.0051,0.83673,0.88047,0.93128,0.64677,1.08295,0.77318,0.99445,8.92e-05,8.92e-05,8.92e-05
14,176.599,1.15748,0.85259,1.00656,0.85538,0.88474,0.93734,0.64973,1.08733,0.75631,0.99496,8.83e-05,8.83e-05,8.83e-05
15,188.501,1.14411,0.83979,1.00312,0.85627,0.89016,0.93754,0.65561,1.07643,0.7477,0.99125,8.74e-05,8.74e-05,8.74e-05
16,202.517,1.15166,0.82368,0.99895,0.84844,0.89619,0.93442,0.65526,1.0754,0.7448,0.9894,8.65e-05,8.65e-05,8.65e-05
